sp;treeid;setTleaf;anet.21p;anet.0p;Rd;corranet;anet.delta;pr.real;gsw.21p;gsw.0p;gsw.delta;gsw.percent;E.21p;E.0p;E.delta;E.percent;ETR.21p;ETR.0p;ETR.delta;ETR.percent;NPQ.21p;NPQ.0p;NPQ.delta;NPQ.percent;Jc;Jo;Jt;Jc/Jt;Jo/Jt;Jc/Jo
Acer platanoides;1;25;4.5482;6.8308;0.3666;4.1817;2.6491;0.6335;0.0304;0.0457;0.0153;0.5015;0.0004;0.0006;0.0002;0.5137;41.7635;18.8022;-22.9613;-0.5498;-0.9992;-0.9992;0.0001;-0.0001;32.31733333;28.24826667;60.5656;0.533592226;0.466407774;
Acer platanoides;1;30;10.4257;14.068;0.693;9.7327;4.3353;0.4454;0.1634;0.1232;-0.0402;-0.2458;0.0036;0.0028;-0.0008;-0.2301;59.5874;47.0786;-12.5088;-0.2099;-0.9992;-0.9991;0.0001;-0.0001;63.35716667;43.30873333;106.6659;0.593977707;0.406022293;
Acer platanoides;1;35;10.0298;15.7974;0.671;9.3588;6.4386;0.688;0.1245;0.1323;0.0078;0.0623;0.0035;0.0038;0.0003;0.0894;79.9493;49.319;-30.6303;-0.3831;-0.9988;-0.9989;-0.0001;0.0001;69.83556667;59.43273333;129.2683;0.540237372;0.459762628;
Acer platanoides;2;30;9.4224;11.6827;0.6373;8.7851;2.8975;0.3298;0.1827;0.1197;-0.0629;-0.3444;0.0039;0.0026;-0.0012;-0.3168;34.3184;30.3777;-3.9407;-0.1148;-0.9995;-0.9993;0.0002;-0.0002;46.6918;18.0044;64.6962;0.721708539;0.278291461;
Acer platanoides;2;35;4.3481;9.2212;0.3554;3.9926;5.2286;1.3096;0.0736;0.0919;0.0183;0.2487;0.0022;0.0026;0.0005;0.2092;40.5757;17.5176;-23.0582;-0.5683;-0.9993;-0.9994;-0.0001;0.0001;30.9591;27.1342;58.0933;0.53292032;0.46707968;
Acer platanoides;3;30;7.4834;12.2062;0.5296;6.9538;5.2524;0.7553;0.0956;0.1321;0.0365;0.3823;0.0021;0.003;0.0008;0.3952;48.4947;27.9717;-20.523;-0.4232;-0.9993;-0.9994;-0.0001;0.0001;45.44453333;31.02186667;76.4664;0.594307216;0.405692784;
Acer platanoides;3;35;8.8896;7.9033;0.6077;8.282;-0.3787;-0.0457;0.1183;0.065;-0.0533;-0.4503;0.0038;0.002;-0.0017;-0.4637;67.1587;32.3657;-34.793;-0.5181;-0.9994;-0.9993;0.0001;-0.0001;56.88066667;42.64373333;99.5244;0.571524839;0.428475161;
Acer platanoides;4;25;7.6418;9.3857;0.5384;7.1034;2.2824;0.3213;0.0609;0.0982;0.0373;0.6135;0.0008;0.0013;0.0005;0.5971;43.8468;30.5621;-13.2847;-0.303;-0.9993;-0.9992;0.0001;-0.0001;45.18113333;29.22786667;74.409;0.607199846;0.392800154;
Acer platanoides;4;30;11.7578;15.9441;0.767;10.9908;4.9533;0.4507;0.1719;0.1982;0.0263;0.1529;0.0037;0.0043;0.0006;0.1657;72.8146;56.0603;-16.7543;-0.2301;-0.9991;-0.9992;-0.0001;0.0001;74.31246667;54.56253333;128.875;0.576624378;0.423375622;
Acer platanoides;4;35;14.2352;19.6456;0.9046;13.3307;6.315;0.4737;0.2216;0.1865;-0.0352;-0.1586;0.0062;0.0053;-0.001;-0.1558;100.7664;67.2478;-33.5187;-0.3326;-0.9991;-0.999;0.0001;-0.0001;93.96553333;74.04866667;168.0142;0.559271379;0.440728621;
Acer platanoides;5;25;11.1257;13.0273;0.7319;10.3938;2.6335;0.2534;0.1671;0.1539;-0.0132;-0.079;0.0022;0.002;-0.0001;-0.0612;43.1675;46.2035;3.036;0.0703;-0.9993;-0.9989;0.0003;-0.0003;59.4589;29.9122;89.3711;0.665303437;0.334696563;
Acer platanoides;5;30;11.1948;15.8214;0.7357;10.4591;5.3622;0.5127;0.1411;0.1199;-0.0211;-0.1499;0.0028;0.0024;-0.0004;-0.1385;62.807;48.4959;-14.3111;-0.2279;-0.9992;-0.999;0.0001;-0.0001;66.95373333;44.34906667;111.3028;0.601545813;0.398454187;
Acer platanoides;5;35;8.5598;14.3795;0.5894;7.9705;6.409;0.8041;0.0969;0.1082;0.0113;0.1168;0.0027;0.0031;0.0003;0.1284;57.0226;38.8897;-18.1329;-0.318;-0.9992;-0.9992;-0.0001;0.0001;54.79713333;41.11506667;95.9122;0.571325997;0.428674003;
Acer platanoides;6;25;12.4974;15.638;0.8081;11.6893;3.9487;0.3378;0.2133;0.1621;-0.0511;-0.2397;0.0027;0.0021;-0.0006;-0.211;46.0298;49.8216;3.7918;0.0824;-0.9995;-0.999;0.0005;-0.0005;65.27686667;30.57453333;95.8514;0.681021526;0.318978474;
Acer platanoides;6;30;13.8094;17.3429;0.8809;12.9285;4.4145;0.3415;0.2312;0.1763;-0.0549;-0.2376;0.0048;0.0037;-0.0011;-0.2248;83.1117;54.3817;-28.73;-0.3457;-0.9993;-0.9991;0.0002;-0.0002;82.65623333;54.83726667;137.4935;0.601164661;0.398835339;
Acer platanoides;6;35;7.2335;9.4601;0.5157;6.7178;2.7424;0.4082;0.0742;0.0491;-0.0251;-0.3379;0.0023;0.0015;-0.0008;-0.3387;61.6661;34.6722;-26.9939;-0.4377;-0.9992;-0.9992;0.0001;-0.0001;51.4021;44.9362;96.3383;0.533558304;0.466441696;
Acer platanoides;7;25;9.2997;8.3841;0.6305;8.6693;-0.2852;-0.0329;0.0969;0.108;0.0111;0.1141;0.0013;0.0014;0.0002;0.1242;44.2121;29.8739;-14.3382;-0.3243;-0.9992;-0.999;0.0002;-0.0002;49.49483333;24.59126667;74.0861;0.668071789;0.331928211;
Acer platanoides;7;30;5.242;8.31;0.4051;4.8369;3.4731;0.718;0.0708;0.0993;0.0285;0.4033;0.0016;0.0022;0.0006;0.3647;48.5909;22.9819;-25.609;-0.527;-0.9991;-0.9992;0;0;37.83626667;33.73653333;71.5728;0.528640303;0.471359697;
Acer platanoides;7;35;8.114;10.6276;0.5646;7.5494;3.0782;0.4077;0.0999;0.079;-0.0209;-0.2089;0.0029;0.0023;-0.0006;-0.2166;58.2188;39.6349;-18.584;-0.3192;-0.9991;-0.999;0.0001;-0.0001;54.25523333;43.59846667;97.8537;0.554452548;0.445547452;
Acer platanoides;8;25;7.7551;8.6564;0.5447;7.2105;1.4459;0.2005;0.0972;0.108;0.0108;0.1114;0.0013;0.0015;0.0002;0.1266;38.1869;35.8206;-2.3663;-0.062;-0.9993;-0.9992;0.0001;-0.0001;45.34966667;28.65773333;74.0074;0.612772056;0.387227944;
Acer platanoides;9;25;6.3197;8.5937;0.4649;5.8548;2.7389;0.4678;0.0572;0.0792;0.022;0.3851;0.0008;0.0011;0.0003;0.3924;32.5807;22.8331;-9.7476;-0.2992;-0.9993;-0.9992;0.0002;-0.0002;35.3238;20.09;55.4138;0.63745493;0.36254507;
Acer platanoides;9;30;5.8094;6.603;0.4366;5.3728;1.2302;0.229;0.0754;0.0269;-0.0485;-0.6431;0.0015;0.0006;-0.001;-0.6345;33.0921;22.8116;-10.2806;-0.3107;-0.9993;-0.9991;0.0001;-0.0001;34.1263;21.7774;55.9037;0.610447967;0.389552033;
Acer platanoides;9;35;3.5358;6.5793;0.3103;3.2254;3.3539;1.0398;0.0265;0.056;0.0295;1.1148;0.0008;0.0016;0.0009;1.0746;38.8762;16.4906;-22.3856;-0.5758;-0.9992;-0.9993;-0.0001;0.0001;27.88413333;27.48266667;55.3668;0.503625518;0.496374482;
Fagus sylvatica;1;25;5.6742;6.8778;0.4291;5.2451;1.6327;0.3113;0.1189;0.1092;-0.0098;-0.0821;0.0015;0.0014;-0.0001;-0.0815;10.9427;23.9463;13.0036;1.1883;-0.9995;-0.9992;0.0004;-0.0004;26.76086667;8.128133333;34.889;0.767028767;0.232971233;
Fagus sylvatica;2;25;8.6849;12.0775;0.5963;8.0886;3.9889;0.4931;0.1925;0.2206;0.0281;0.1459;0.0024;0.0028;0.0003;0.1365;37.9915;44.4093;6.4179;0.1689;-0.9994;-0.9992;0.0002;-0.0002;50.62666667;31.77413333;82.4008;0.614395329;0.385604671;
Fagus sylvatica;2;30;10.3404;14.2417;0.6883;9.6522;4.5895;0.4755;0.2505;0.2049;-0.0456;-0.182;0.0043;0.004;-0.0002;-0.0566;56.5713;12.665;-43.9064;-0.7761;-0.9992;-0.9995;-0.0002;0.0002;50.65343333;18.58286667;69.2363;0.731602257;0.268397743;
Fagus sylvatica;2;35;12.095;18.7381;0.7857;11.3093;7.4288;0.6569;0.2567;0.2502;-0.0065;-0.0253;0.0078;0.008;0.0003;0.0323;63.4882;62.0315;-1.4567;-0.0229;-0.9993;-0.999;0.0002;-0.0002;74.09326667;51.42653333;125.5198;0.590291465;0.409708535;
Fagus sylvatica;3;25;13.9734;16.3814;0.89;13.0834;3.2981;0.2521;0.187;0.2185;0.0315;0.1685;0.0024;0.0028;0.0004;0.1691;97.74;70.384;-27.3561;-0.2799;-0.9992;-0.9988;0.0004;-0.0005;93.30373333;74.82026667;168.124;0.554969745;0.445030255;
Fagus sylvatica;3;30;15.0003;22.8477;0.9471;14.0532;8.7945;0.6258;0.2414;0.2334;-0.008;-0.0331;0.004;0.0039;0;-0.0108;86.0336;85.2105;-0.823;-0.0096;-0.9992;-0.9989;0.0003;-0.0003;97.08216667;74.16193333;171.2441;0.566922695;0.433077305;
Fagus sylvatica;3;35;13.6912;24.2794;0.8744;12.8168;11.4626;0.8943;0.2178;0.2367;0.0189;0.0869;0.0064;0.0068;0.0003;0.0532;126.0299;89.7224;-36.3075;-0.2881;-0.9988;-0.9987;0.0001;-0.0001;108.4273;107.325;215.7523;0.50255455;0.49744545;
Fagus sylvatica;4;30;9.1296;12.5671;0.621;8.5085;4.0585;0.477;0.1656;0.1861;0.0204;0.1232;0.0029;0.0032;0.0003;0.0894;58.9939;44.3253;-14.6686;-0.2486;-0.9992;-0.9992;0;0;58.78506667;44.53413333;103.3192;0.568965562;0.431034438;
Fagus sylvatica;4;35;7.5647;14.1872;0.5341;7.0306;7.1566;1.0179;0.1622;0.1721;0.0099;0.061;0.0048;0.0052;0.0003;0.0661;42.8194;50.3287;7.5093;0.1754;-0.9993;-0.9992;0.0001;-0.0001;51.2219;41.9262;93.1481;0.549897421;0.450102579;
Fagus sylvatica;5;25;7.2024;11.2982;0.514;6.6884;4.6098;0.6892;0.1008;0.1666;0.0659;0.6534;0.0013;0.0021;0.0008;0.5924;249.6078;58.3144;-191.2933;-0.7664;-0.9991;-0.9991;0.0001;-0.0001;121.8471333;186.0750667;307.9222;0.39570753;0.60429247;
Fagus sylvatica;5;30;16.998;25.6227;1.058;15.94;9.6827;0.6074;0.2432;0.2396;-0.0035;-0.0144;0.004;0.0038;-0.0002;-0.043;119.0847;105.5457;-13.539;-0.1137;-0.9993;-0.9991;0.0002;-0.0002;120.2048;104.4256;224.6304;0.535122584;0.464877416;
Fagus sylvatica;5;35;13.1271;22.374;0.843;12.2841;10.0899;0.8214;0.2239;0.2386;0.0146;0.0653;0.0066;0.0069;0.0003;0.0455;109.3662;83.109;-26.2572;-0.2401;-0.999;-0.9989;0;0;99.16396667;93.31113333;192.4751;0.515204131;0.484795869;
Fagus sylvatica;6;25;9.0364;11.8759;0.6158;8.4205;3.4554;0.4104;0.136;0.1694;0.0335;0.2461;0.0018;0.0022;0.0004;0.2344;297.5791;46.1726;-251.4066;-0.8448;-0.9995;-0.9991;0.0003;-0.0003;138.6807;205.071;343.7517;0.403432768;0.596567232;
Fagus sylvatica;6;35;13.31;20.2829;0.8532;12.4569;7.8261;0.6283;0.2202;0.208;-0.0121;-0.055;0.0066;0.0061;-0.0004;-0.0684;64.3381;71.5452;7.2072;0.112;-0.9994;-0.9992;0.0003;-0.0003;80.78803333;55.09526667;135.8833;0.594539824;0.405460176;
Fagus sylvatica;7;25;10.1544;11.0572;0.6779;9.4765;1.5807;0.1668;0.1294;0.1619;0.0325;0.2515;0.0017;0.0021;0.0004;0.2596;44.9206;35.0566;-9.8639;-0.2196;-0.9995;-0.999;0.0005;-0.0005;53.73746667;26.23973333;79.9772;0.671909828;0.328090172;
Fagus sylvatica;7;30;10.8316;14.8169;0.7155;10.116;4.7009;0.4647;0.1925;0.1806;-0.0119;-0.0619;0.0041;0.0039;-0.0002;-0.0488;42.7196;44.5618;1.8422;0.0431;-0.9994;-0.9991;0.0003;-0.0003;57.97783333;29.30366667;87.2815;0.664262568;0.335737432;
Fagus sylvatica;7;35;8.6695;14.549;0.5955;8.0741;6.4749;0.8019;0.2034;0.1805;-0.0229;-0.1124;0.0059;0.0051;-0.0008;-0.135;62.1877;44.695;-17.4926;-0.2813;-0.9991;-0.9991;0;0;58.7465;48.1362;106.8827;0.549635254;0.450364746;
Fagus sylvatica;8;25;7.036;7.9182;0.5047;6.5313;1.3869;0.2123;0.1359;0.1303;-0.0057;-0.0416;0.0017;0.0017;0;-0.0165;9.439;29.2488;19.8098;2.0987;-0.9996;-0.9992;0.0004;-0.0004;31.6586;7.0292;38.6878;0.818309648;0.181690352;
Fagus sylvatica;9;25;5.4031;9.0727;0.414;4.989;4.0837;0.8185;0.0617;0.098;0.0363;0.5876;0.0008;0.0013;0.0005;0.5499;17.8661;30.999;13.1329;0.7351;-0.9995;-0.9992;0.0003;-0.0003;30.69633333;18.16866667;48.865;0.6281865;0.3718135;
Betula pendula;1;25;19.6952;25.9099;1.2078;18.4874;7.4226;0.4015;0.2509;0.1958;-0.055;-0.2193;0.0031;0.0025;-0.0006;-0.1975;137.7454;110.5823;-27.1631;-0.1972;-0.9994;-0.9991;0.0003;-0.0003;135.2964333;113.0312667;248.3277;0.544830212;0.455169788;
Betula pendula;1;30;18.0602;25.7422;1.117;16.9432;8.799;0.5193;0.2073;0.2356;0.0282;0.1362;0.0035;0.0039;0.0005;0.1323;164.6401;105.4954;-59.1447;-0.3592;-0.9991;-0.999;0.0001;-0.0001;138.2057;131.9298;270.1355;0.511616207;0.488383793;
Betula pendula;1;35;20.5168;27.4716;1.2535;19.2633;8.2082;0.4261;0.1971;0.17;-0.0271;-0.1373;0.0047;0.0043;-0.0004;-0.078;207.936;130.3735;-77.5625;-0.373;-0.9991;-0.9989;0.0002;-0.0002;167.4813;170.8282;338.3095;0.495053494;0.504946506;
Betula pendula;1b;30;20.0735;26.4982;1.2288;18.8446;7.6535;0.4061;0.2057;0.1769;-0.0287;-0.1397;0.0039;0.0033;-0.0005;-0.1405;202.3319;115.3361;-86.9958;-0.43;-0.9991;-0.999;0.0002;-0.0002;159.4184;158.2496;317.668;0.501839656;0.498160344;
Betula pendula;1b;35;11.1931;16.6394;0.7356;10.4575;6.1819;0.5911;0.0893;0.0391;-0.0502;-0.5622;0.0026;0.0011;-0.0015;-0.578;137.9838;47.0605;-90.9233;-0.6589;-0.9992;-0.9993;-0.0001;0.0001;91.52973333;93.51466667;185.0444;0.494636603;0.505363397;
Betula pendula;2;25;17.2082;23.9217;1.0697;16.1385;7.7832;0.4823;0.2076;0.2207;0.0132;0.0635;0.0026;0.0028;0.0002;0.063;123.5886;103.4656;-20.123;-0.1628;-0.9992;-0.999;0.0002;-0.0002;121.5732667;105.4809333;227.0542;0.535437207;0.464562793;
Betula pendula;2;35;11.5834;19.8333;0.7573;10.8261;9.0072;0.832;0.1482;0.148;-0.0003;-0.0017;0.0042;0.0042;0;-0.0023;92.2817;85.0049;-7.2768;-0.0789;-0.9992;-0.9991;0.0001;-0.0001;89.9846;87.302;177.2866;0.507565716;0.492434284;
Betula pendula;3;30;12.2975;17.3931;0.797;11.5006;5.8926;0.5124;0.1412;0.1571;0.016;0.113;0.0024;0.0027;0.0003;0.105;100.244;69.706;-30.538;-0.3046;-0.9991;-0.999;0.0001;-0.0001;89.4436;80.5064;169.95;0.526293616;0.473706384;
Betula pendula;3a;25;15.1996;16.1193;0.9581;14.2415;1.8778;0.1319;0.2309;0.2252;-0.0057;-0.0249;0.0029;0.0028;-0.0001;-0.0241;84.0846;71.8389;-12.2458;-0.1456;-0.9993;-0.9991;0.0002;-0.0002;92.50676667;63.41673333;155.9235;0.593283031;0.406716969;
Betula pendula;3b;35;12.0914;17.0837;0.7855;11.3059;5.7778;0.511;0.1993;0.1532;-0.0461;-0.2312;0.0055;0.0043;-0.0013;-0.2301;109.9866;58.0831;-51.9034;-0.4719;-0.9991;-0.9992;0;0;88.26696667;79.80273333;168.0697;0.525180724;0.474819276;
Betula pendula;3c;30;8.0745;17.1628;0.5624;7.5121;9.6507;1.2847;0.1174;0.1534;0.036;0.307;0.0021;0.0026;0.0006;0.2773;42.5428;60.7206;18.1778;0.4273;-0.9993;-0.9991;0.0002;-0.0002;55.95313333;47.31026667;103.2634;0.541848645;0.458151355;
Betula pendula;3c;35;11.9749;18.7644;0.779;11.1958;7.5685;0.676;0.1828;0.1854;0.0026;0.0143;0.0051;0.0053;0.0002;0.0444;79.9001;75.9405;-3.9596;-0.0496;-0.9992;-0.9991;0.0001;-0.0001;83.87963333;71.96086667;155.8405;0.538240273;0.461759727;
Betula pendula;4;25;21.535;21.4209;1.31;20.225;1.1959;0.0591;0.2423;0.1982;-0.0441;-0.182;0.0031;0.0026;-0.0005;-0.1725;191.1167;97.3631;-93.7536;-0.4906;-0.9993;-0.999;0.0003;-0.0003;153.5866333;134.8932667;288.4799;0.532399773;0.467600227;
Betula pendula;4;30;16.2724;24.7044;1.0177;15.2547;9.4497;0.6195;0.2086;0.6611;0.4525;2.169;0.0036;0.0087;0.0051;1.3985;153.6647;99.1091;-54.5556;-0.355;-0.9991;-0.999;0.0001;-0.0001;127.651;125.1228;252.7738;0.505000914;0.494999086;
Betula pendula;4;35;17.1304;23.7314;1.0654;16.065;7.6663;0.4772;0.1517;0.1377;-0.0139;-0.0918;0.0038;0.0035;-0.0003;-0.0671;202.8537;108.3674;-94.4863;-0.4658;-0.9992;-0.999;0.0002;-0.0002;149.4214;161.7996;311.221;0.480113488;0.519886512;
Betula pendula;4c;30;11.8399;15.9736;0.7715;11.0684;4.9052;0.4432;0.1436;0.13;-0.0136;-0.0948;0.0025;0.0023;-0.0002;-0.0831;97.2306;46.4328;-50.7977;-0.5224;-0.9993;-0.9993;0;0;79.46086667;64.20253333;143.6634;0.553104456;0.446895544;
Betula pendula;4c;35;15.47;24.913;0.9732;14.4968;10.4162;0.7185;0.2021;0.2046;0.0025;0.0123;0.0056;0.0054;-0.0002;-0.0317;131.4384;99.5512;-31.8872;-0.2426;-0.9992;-0.9991;0.0001;-0.0001;118.2498667;112.7397333;230.9896;0.511927233;0.488072767;
Betula pendula;5;25;18.197;15.6175;1.1246;17.0724;-1.4548;-0.0852;0.2243;0.2095;-0.0148;-0.0661;0.0028;0.0027;-0.0002;-0.0616;130.8989;69.9223;-60.9766;-0.4658;-0.9993;-0.9991;0.0003;-0.0003;115.4657;85.3554;200.8211;0.574967969;0.425032031;
Betula pendula;6;25;12.5565;18.0813;0.8113;11.7451;6.3361;0.5395;0.1056;0.1505;0.0449;0.425;0.0014;0.002;0.0006;0.4025;104.691;76.9777;-27.7133;-0.2647;-0.9991;-0.999;0.0001;-0.0001;94.03996667;87.62873333;181.6687;0.517645399;0.482354601;
Betula pendula;6;30;13.4976;18.1418;0.8636;12.634;5.5077;0.4359;0.1157;0.1372;0.0214;0.1853;0.002;0.0024;0.0004;0.1913;145.9209;78.865;-67.0559;-0.4595;-0.9991;-0.999;0.0001;-0.0001;110.9222333;113.8636667;224.7859;0.493457256;0.506542744;
Betula pendula;7;25;17.2611;19.0688;1.0726;16.1884;2.8803;0.1779;0.7037;0.1916;-0.5121;-0.7277;0.009;0.0025;-0.0065;-0.7191;174.4699;88.3544;-86.1154;-0.4936;-0.9991;-0.9989;0.0002;-0.0002;133.6374333;129.1868667;262.8243;0.50846681;0.49153319;
Betula pendula;7;30;13.9978;21.8313;0.8914;13.1064;8.7249;0.6657;0.208;0.2049;-0.003;-0.0146;0.004;0.0039;-0.0001;-0.0263;101.0715;89.5338;-11.5377;-0.1142;-0.9992;-0.9992;0.0001;-0.0001;100.8625667;89.74273333;190.6053;0.52916979;0.47083021;
Betula pendula;7;35;16.4485;23.7668;1.0275;15.421;8.3458;0.5412;0.207;0.1945;-0.0125;-0.0603;0.0056;0.0053;-0.0002;-0.0404;152.2777;98.7041;-53.5737;-0.3518;-0.9991;-0.9991;0;0;127.5232667;123.4585333;250.9818;0.508097666;0.491902334;
Corylus avellana;1;25;11.709;14.5231;0.7643;10.9447;3.5784;0.327;0.2544;0.2312;-0.0232;-0.0911;0.0032;0.0029;-0.0003;-0.0838;60.8915;46.692;-14.1996;-0.2332;-0.9993;-0.999;0.0003;-0.0003;67.08516667;40.49833333;107.5835;0.623563713;0.376436287;
Corylus avellana;1;30;7.7626;12.0381;0.5451;7.2175;4.8206;0.6679;0.1154;0.1084;-0.007;-0.0609;0.002;0.0019;-0.0001;-0.0641;47.0306;42.9505;-4.08;-0.0868;-0.9991;-0.999;0;0;50.69396667;39.28713333;89.9811;0.563384607;0.436615393;
Corylus avellana;1;35;4.8088;8.365;0.381;4.4278;3.9372;0.8892;0.067;0.0717;0.0047;0.0703;0.0021;0.0021;0.0001;0.028;49.2639;28.2472;-21.0166;-0.4266;-0.9989;-0.9989;-0.0001;0.0001;38.6605;38.8506;77.5111;0.498773724;0.501226276;
Corylus avellana;2;25;9.3189;10.0092;0.6315;8.6874;1.3218;0.1522;0.1851;0.1876;0.0025;0.0132;0.0024;0.0024;0;0.0151;55.5682;42.5931;-12.9751;-0.2335;-0.9992;-0.999;0.0002;-0.0002;57.57086667;40.59053333;98.1614;0.586491907;0.413508093;
Corylus avellana;2;30;6.1617;8.9012;0.4562;5.7055;3.1957;0.5601;0.0734;0.0688;-0.0046;-0.0623;0.0014;0.0013;-0.0001;-0.0491;48.5284;19.4363;-29.0921;-0.5995;-0.999;-0.9991;-0.0001;0.0001;39.0861;28.8786;67.9647;0.57509413;0.42490587;
Corylus avellana;2;35;8.0336;13.1005;0.5601;7.4735;5.627;0.7529;0.1192;0.1235;0.0043;0.0361;0.0036;0.0039;0.0003;0.0809;56.1771;48.8346;-7.3425;-0.1307;-0.9991;-0.999;0.0001;-0.0001;56.42683333;48.58486667;105.0117;0.537338538;0.462661462;
Corylus avellana;3;25;10.1103;12.6847;0.6755;9.4348;3.2499;0.3445;0.295;0.2816;-0.0134;-0.0455;0.0037;0.0035;-0.0002;-0.0541;53.3021;47.7755;-5.5266;-0.1037;-0.9993;-0.9991;0.0002;-0.0002;60.65333333;40.42426667;101.0776;0.600067011;0.399932989;
Corylus avellana;3;35;6.4329;11.5698;0.4712;5.9616;5.6082;0.9407;0.1123;0.1372;0.0249;0.2219;0.0034;0.0041;0.0006;0.1746;57.0873;38.665;-18.4223;-0.3227;-0.999;-0.9991;-0.0001;0.0001;49.07156667;46.68073333;95.7523;0.512484469;0.487515531;
Corylus avellana;4;25;6.0413;11.4614;0.4495;5.5918;5.8696;1.0497;0.1156;0.173;0.0575;0.4973;0.0015;0.0023;0.0007;0.4703;30.4738;34.1722;3.6985;0.1214;-0.9992;-0.999;0.0002;-0.0002;37.6588;26.9872;64.646;0.582538749;0.417461251;
Corylus avellana;4;30;4.9175;6.1671;0.3871;4.5305;1.6366;0.3612;0.0821;0.0562;-0.0259;-0.3153;0.0014;0.001;-0.0005;-0.3182;29.6987;17.9492;-11.7495;-0.3956;-0.9991;-0.9991;0;0;28.99623333;18.65166667;47.6479;0.608552178;0.391447822;
Corylus avellana;4;35;5.4313;8.2672;0.4156;5.0157;3.2515;0.6483;0.0782;0.0697;-0.0085;-0.1089;0.0026;0.0022;-0.0004;-0.1448;44.7429;29.5437;-15.1992;-0.3397;-0.9991;-0.9991;0.0001;-0.0001;39.24563333;35.04086667;74.2865;0.528301015;0.471698985;
Corylus avellana;5;25;11.1797;12.1331;0.7349;10.4448;1.6883;0.1616;0.2556;0.299;0.0434;0.1698;0.0033;0.0038;0.0005;0.1449;60.1605;43.6825;-16.4779;-0.2739;-0.9992;-0.999;0.0002;-0.0002;64.42686667;39.41613333;103.843;0.620425707;0.379574293;
Corylus avellana;5;30;8.8738;15.3508;0.6068;8.267;7.0838;0.8569;0.1927;0.1597;-0.033;-0.1712;0.0031;0.0028;-0.0004;-0.1175;47.1401;48.4392;1.2991;0.0276;-0.9992;-0.9991;0.0001;-0.0001;55.52323333;40.05606667;95.5793;0.580912743;0.419087257;
